"","t","onset","imported","domestic","total","imported_delay","domestic_delay"
"90",89,2020-04-01,0.920778273985429,573.190190817565,574.251661326357,0.921003920872709,573.330657405484
"91",90,2020-04-02,1.28996718542679,566.668840901637,568.122005818624,1.29033784561456,566.831667973009
"92",91,2020-04-03,1.63746148381134,550.12952471783,551.953537571265,1.63801510642768,550.315522464837
"93",92,2020-04-04,1.5578646384384,515.081642023423,516.845873969354,1.55848691437109,515.287387054983
"94",93,2020-04-05,1.07858918378668,465.322109985234,466.621857494935,1.0791006302289,465.542756864707
"95",94,2020-04-06,0.571084449368948,416.294088083122,417.10117196422,0.571407756793988,416.529764207426
"96",95,2020-04-07,0.250407197413129,376.897744433967,377.404819539164,0.250577611854182,377.15424192731
"97",96,2020-04-08,0.0915864877033296,346.19396848466,346.57117799201,0.0916620300088084,346.479515962001
"98",97,2020-04-09,0.0248991757286095,321.723480078133,322.07315320347,0.02492430904447,322.048228894426
"99",98,2020-04-10,0,301.331025669247,301.707470008965,0,301.707470008965
"100",99,2020-04-11,0,280.941915941051,281.381854474799,0,281.381854474799
"101",100,2020-04-12,0,258.81760134986,259.332746190716,0,259.332746190716
"102",101,2020-04-13,0,238.557366755567,239.16975745928,0,239.16975745928
"103",102,2020-04-14,0,223.609066595264,224.360296656336,0,224.360296656336
"104",103,2020-04-15,0,213.054024356314,214.003861626131,0,214.003861626131
"105",104,2020-04-16,0,203.5166185544,204.735700659573,0,204.735700659573
"106",105,2020-04-17,0,191.582899533656,193.140961845968,0,193.140961845968
"107",106,2020-04-18,0,175.092982789387,177.041877814719,0,177.041877814719
"108",107,2020-04-19,0,155.856960684643,158.244594881342,0,158.244594881342
"109",108,2020-04-20,0,137.736807995647,140.650423826017,0,140.650423826017
"110",109,2020-04-21,0,121.305697535943,124.85335322594,0,124.85335322594
"111",110,2020-04-22,0,104.672463360976,108.903121130328,0,108.903121130328
"112",111,2020-04-23,0,87.3868482991738,92.2608664096265,0,92.2608664096265
"113",112,2020-04-24,0,70.5374589935311,75.9552579619248,0,75.9552579619248
"114",113,2020-04-25,0,54.9238200953443,60.7209813207536,0,60.7209813207536
"115",114,2020-04-26,0,41.1058173757994,47.0590959697542,0,47.0590959697542
"116",115,2020-04-27,0,29.1616085786464,34.9553270053625,0,34.9553270053625
"117",116,2020-04-28,0,18.6454500815876,23.7363155889719,0,23.7363155889719
"118",117,2020-04-29,0,10.0356360495475,13.8193488448828,0,13.8193488448828
"119",118,2020-04-30,0,4.33076694492038,6.60601435183898,0,6.60601435183898
"120",119,2020-05-01,0,1.46382220080299,2.55179940643452,0,2.55179940643452
"121",120,2020-05-02,0,0.381494081087761,0.792364519605582,0,0.792364519605582
"122",121,2020-05-03,0,0.0741963322449977,0.194395907055315,0,0.194395907055315
"123",122,2020-05-04,0,0,0,0,0
"124",123,2020-05-05,0,0,0,0,0
"125",124,2020-05-06,0,0,0,0,0
"126",125,2020-05-07,0,0,0,0,0
"127",126,2020-05-08,0,0,0,0,0
"128",127,2020-05-09,0,0,0,0,0
