t,onset,imported,domestic,total,imported_delay,domestic_delay
50,2020-02-22,2.264403130129538,37.83728675032304,40.10176901868289,2.2644075987905095,37.83736141989238
51,2020-02-23,1.9853225930234293,34.926649118848054,36.912052280390675,1.9853269264278508,34.92672535396285
52,2020-02-24,1.7860119112355628,32.95058676310856,34.73668260962009,1.7860162268395248,32.950666382780575
53,2020-02-25,2.34895758993645,32.837223388936174,35.18627518536218,2.3489638789693217,32.837311306392884
54,2020-02-26,4.190467711031839,33.627261929822645,37.81784193469972,4.190480153971621,33.62736178072816
55,2020-02-27,6.653944076969806,34.73521255065991,41.38929305688052,6.6539660100720885,34.73532704680851
56,2020-02-28,7.79940367225749,35.97084601335671,43.77041000184107,7.7994322389432496,35.97097776289776
57,2020-02-29,6.855524851821971,36.88185552407807,43.7375585541523,6.855552780002076,36.88200577415018
58,2020-03-01,5.28172162403981,37.63454189768121,42.91645817526779,5.2817455801292335,37.63471259513849
59,2020-03-02,4.467543648103093,38.62568721857422,43.09344870405113,4.467566231649412,38.625882472401706
60,2020-03-03,4.455492138761603,39.4392632169306,43.895002911456324,4.455517266655626,39.43948564480067
61,2020-03-04,4.74338165317921,39.241414068026735,43.9850727751156,4.743411531058824,39.24166124405671
62,2020-03-05,4.8673107040026,37.782665998551956,42.65027707247179,4.867344982889155,37.78293208958266
63,2020-03-06,4.561054339688406,35.8644103617831,40.42578338089301,4.561090295098414,35.86469308579455
64,2020-03-07,4.213717498148044,34.22203742191959,38.43609446119514,4.213754722092087,34.22233973910302
65,2020-03-08,4.844130753020815,32.69755714873124,37.54205998227426,4.844178763826954,32.69788121844735
66,2020-03-09,7.156826208360803,31.117776984720198,38.27502930160727,7.15690588481499,31.11812341679219
67,2020-03-10,11.222031368900563,30.2033236328636,41.425873676193795,11.22217187658521,30.20370179960859
68,2020-03-11,16.922344582206435,31.61705898665327,48.54008793377513,16.9225831730845,31.61750476069053
69,2020-03-12,22.931952416849438,37.92774510884442,60.86066501654678,22.932316967695147,37.92834804885164
