"","t","onset","imported","domestic","total","imported_delay","domestic_delay","Rt","lower","upper"
"44",43,2020-02-15,0.353076070250502,18.8337234070444,19.1870699950895,0.353081048327223,18.8339889467622,1.86952130433163,1.15,2.84
"45",44,2020-02-16,0.489654672809811,20.6293378061491,21.1193282090541,0.48966245688427,20.6296657521699,1.74718346261346,1.1,2.61
"46",45,2020-02-17,0.884600744219572,22.7412035339765,23.6262283120232,0.884616620954797,22.7416116910684,1.67977651813831,1.09,2.46
"47",46,2020-02-18,1.53423545711121,25.7794108657505,27.3142005374872,1.53426658791371,25.7799339495735,1.68694982618451,1.12,2.42
"48",47,2020-02-19,2.09778776345647,30.1435072783825,32.2420356659931,2.09783595234857,30.1441997136445,1.76182803164826,1.21,2.46
"49",48,2020-02-20,2.33310676323015,34.6100005104221,36.9440693828032,2.33316752431748,34.6109018584857,1.80665028861258,1.27,2.47
"50",49,2020-02-21,2.41209605515343,36.4724508432476,38.8856966614496,2.41216737754587,36.4735292839037,1.69013288164016,1.2,2.29
"51",50,2020-02-22,2.38416964291338,34.4238104518876,36.809217653048,2.38424980348715,34.4249678495609,1.40959970940359,0.99,1.93
"52",51,2020-02-23,2.09255863830025,30.4914345601922,32.5852408411581,2.09263876247108,30.492602078687,1.10990010705694,0.77,1.55
"53",52,2020-02-24,1.82654264761569,27.7843205909568,29.6121565046652,1.82662242258388,27.7855340820814,0.917841342888496,0.62,1.3
"54",53,2020-02-25,2.29448079967992,27.2899933467917,29.5859503967839,2.29459529311252,27.2913551036714,0.844533556508041,0.57,1.2
"55",54,2020-02-26,3.98615688726372,28.0894383696259,32.0774269786503,3.98638452233186,28.0910424563184,0.842607451692714,0.57,1.19
"56",55,2020-02-27,6.2282602837033,29.4750956175106,35.7056933065606,6.22866803161721,29.4770252749434,0.880729855922739,0.6,1.23
"57",56,2020-02-28,7.17258628700959,31.0303172761511,38.2057759120178,7.17312556984158,31.0326503421762,0.935917538982289,0.65,1.3
"58",57,2020-02-29,6.16667305181523,32.1927870746824,38.362778544155,6.16720652117779,32.1955720229772,0.977394169107336,0.68,1.35
"59",58,2020-03-01,4.66654522210684,33.1873273095657,37.8576475407464,4.66701059722908,33.1906369435173,1.00094244613041,0.7,1.38
"60",59,2020-03-02,3.97804291463466,34.5343676790532,38.5168469122011,3.97850115303513,34.5383457591659,1.02055232433455,0.72,1.39
"61",60,2020-03-03,4.09343530475155,35.8855043860015,39.9842702511563,4.09398109972054,35.8902891514357,1.0308364642587,0.73,1.4
"62",61,2020-03-04,4.49579127015592,36.3613061209137,40.8634168931525,4.49648664902789,36.3669302441246,1.01332579858505,0.72,1.37
